lead_id,activity_timestamp,activity_value,points
2599,2020-05-10,Launch In-Browser Demo: DataSec Classification for Synology,15
2599,2020-05-17,White Paper: HIPAA Compliance for IT Auditors,2
2600,2021-03-16,Launch In-Browser Demo: DataSec Auditor for Exchange,15
2601,2020-03-23,DataSec Account Lockout Examiner,8
2601,2020-03-25,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2602,2020-12-10,Free Trial: DataSec Auditor for Microsoft 365,40
2603,2021-04-13,Webinar Attendance: Get on Top of Active Directory Certificate Services and Stay There,10
2604,2020-10-26,Request a Quote: DataSec Auditor for Windows File Servers,40
2605,2021-03-24,Free Trial: DataSec Classification for Synology,40
2606,2020-12-27,Request a Quote: DataSec Classification for Windows File Servers,40
2607,2021-02-07,Request a Quote: DataSec Auditor for Windows File Servers,40
2608,2020-05-27,Ebook: Windows Server Hardening Guide,2
2608,2020-06-08,Get a Demo: DataSec Auditor for Windows File Servers,40
2608,2020-06-11,Request a Quote: DataSec Auditor for Active Directory,40
2609,2021-03-17,White Paper: HIPAA Compliance for IT Auditors,2
2609,2021-03-30,Get a Demo: DataSec Classification for Dell Data Storage,40
2610,2020-07-17,Webinar Attendance: World Password Day: You Still Have Passwords. Now What?,10
2611,2021-03-27,Get a Demo: DataSec Auditor for Active Directory,40
2611,2021-03-31,Launch In-Browser Demo: DataSec Auditor for Nutanix Files,15
2612,2021-03-20,Free Trial: DataSec Auditor for SQL Server,40
2613,2021-06-21,Webinar Attendance: Active Directory Recommended Practices: Detecting and Remediating Unwanted Persistence,10
2614,2021-05-29,Ebook: Defending Against Crypto-Ransomware,2
2614,2021-06-10,DataSec Effective Permissions Reporting Tool,8
2615,2021-06-26,Get a Demo: DataSec Classification for Nutanix Files,40
2616,2021-01-29,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
2617,2020-07-20,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2618,2021-06-20,Get a Demo: DataSec Classification for Windows File Servers,40
2619,2021-05-18,Free Community Edition: DataSec Auditor for Oracle Database: Free Community Edition,15
2619,2021-06-01,Webinar Attendance: Discover and Secure Sensitive Data with DataSec Classification,10
2620,2020-11-25,Free Trial: DataSec Auditor for Windows Server,40
2621,2021-02-20,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
2622,2020-05-01,Request a Quote: DataSec Auditor for Azure Files,40
2623,2021-05-16,Ebook: Defending Against Crypto-Ransomware,2
2623,2021-05-19,Webinar Attendance: Enhance Your Data Loss Prevention Strategy with DataSec Endpoint Protector,10
2624,2020-09-05,Webinar Attendance: Get on Top of Active Directory Certificate Services and Stay There,10
2625,2020-05-19,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
2625,2020-05-28,Webinar Registration: Identify and Reduce Risks Around Sensitive Data with DataSec Access Analyzer,5
2625,2020-06-04,Webinar Attendance: Get on Top of Active Directory Certificate Services and Stay There,10
2625,2020-06-21,DataSec Disk Space Monitor,8
2626,2020-11-11,Request a Quote: DataSec Classification for Qumulo,40
2627,2021-05-28,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
2627,2021-06-09,White Paper: Insider Threat Detection Fundamentals,2
2628,2020-10-15,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2629,2020-08-12,Free Trial: DataSec Classification for Windows File Servers,40
2630,2021-05-10,Webinar Registration: Block Insider Threats Where They Start: At the Endpoint,5
2630,2021-05-11,DataSec Flashlight for NetSuite,8
2631,2021-06-19,White Paper: Preventing Data Loss - A DLP Primer,2
2631,2021-06-27,Free Trial: DataSec Auditor for Windows File Servers,40
2631,2021-07-04,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2631,2021-07-19,White Paper: HIPAA Compliance for IT Auditors,2
2632,2020-06-05,Webinar Attendance: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,10
2633,2020-11-10,Get a Demo: DataSec Classification for SharePoint,40
2634,2021-05-30,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2635,2020-12-10,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2636,2020-03-19,Webinar Attendance: Enhance Your Data Loss Prevention Strategy with DataSec Endpoint Protector,10
2637,2020-07-19,Free Trial: DataSec Classification for NetApp,40
2638,2021-03-10,Ebook: Windows Server Hardening Guide,2
2638,2021-03-11,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
2638,2021-03-24,Ebook: Windows Server Hardening Guide,2
2639,2020-03-14,Free Trial: DataSec Auditor for Windows File Servers,40
2640,2021-06-10,Get a Demo: DataSec Auditor for NetApp,40
2641,2020-11-19,Webinar Attendance: Get on Top of Active Directory Certificate Services and Stay There,10
2642,2020-01-05,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2643,2020-01-19,Launch In-Browser Demo: DataSec Classification for Dell Data Storage,15
2644,2021-02-21,Free Community Edition: DataSec Auditor for Dell Data Storage: Free Community Edition,15
2645,2020-06-29,Webinar Attendance: World Password Day: You Still Have Passwords. Now What?,10
2646,2021-06-29,Free Trial: DataSec Auditor for Active Directory,40
2647,2020-12-15,Ebook: Password Policy Best Practices,2
2647,2020-12-28,Webinar Attendance: Identify and Reduce Risks Around Sensitive Data with DataSec Access Analyzer,10
2648,2020-05-02,Free Trial: DataSec Auditor for Active Directory,40
2649,2020-01-30,Launch In-Browser Demo: DataSec Classification for SharePoint,15
2650,2021-02-16,White Paper: HIPAA Compliance for IT Auditors,2
2650,2021-02-27,Free Community Edition: DataSec Auditor for SQL Server: Free Community Edition,15
2650,2021-03-15,DataSec Bulk Password Reset,8
2651,2020-08-09,DataSec Service Monitor,8
2651,2020-08-12,Free Community Edition: DataSec Auditor for Exchange: Free Community Edition,15
2652,2020-01-05,Ebook: Windows Server Hardening Guide,2
2652,2020-01-17,Get a Demo: DataSec Auditor for Network Devices,40
2652,2020-02-01,Launch In-Browser Demo: DataSec Classification for Azure Files,15
2653,2020-12-18,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
2654,2020-10-23,Get a Demo: DataSec Auditor for Active Directory,40
2655,2021-02-06,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
2656,2020-02-20,DataSec Disk Space Monitor,8
2656,2020-02-29,Get a Demo: DataSec Auditor for NetApp,40
2657,2020-05-31,Webinar Registration: Identity Security Roadmap: Reduce Risk and Stop Identity-Based Attacks,5
2657,2020-06-12,Launch In-Browser Demo: DataSec Classification for Synology,15
2658,2021-03-28,Webinar Attendance: Group and Identity Management Mastery: Techniques and Best Practices,10
2659,2020-02-02,Launch In-Browser Demo: DataSec Auditor for Dell Data Storage,15
2660,2020-09-21,DataSec Event Log Manager,8
2660,2020-10-02,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2660,2020-10-14,Ebook: Password Policy Best Practices,2
2661,2020-12-10,Get a Demo: DataSec Classification for Azure Files,40
2662,2021-05-05,Launch In-Browser Demo: DataSec Classification for Dell Data Storage,15
2662,2021-05-12,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
2663,2020-03-02,Free Trial: DataSec Auditor for Nutanix Files,40
2664,2020-07-31,Free Trial: DataSec Auditor for Active Directory,40
2665,2020-07-13,White Paper: Active Directory Security Best Practices,2
2665,2020-07-21,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
2666,2020-12-07,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2667,2021-06-06,DataSec Flashlight for NetSuite,8
2667,2021-06-07,Launch In-Browser Demo: DataSec Classification for Synology,15
2668,2020-07-15,Request a Quote: DataSec Auditor for Windows File Servers,40
2669,2021-02-16,Free Trial: DataSec Classification for Qumulo,40
2670,2020-01-11,DataSec Inactive User Tracker,8
2670,2020-01-19,Get a Demo: DataSec Auditor for SharePoint,40
2671,2020-07-03,White Paper: HIPAA Compliance for IT Auditors,2
2671,2020-07-06,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2672,2020-05-04,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
2673,2021-06-02,Free Trial: DataSec Classification for Windows File Servers,40
2674,2021-01-01,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2675,2021-02-26,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
2676,2021-05-10,Get a Demo: DataSec Classification for NetApp,40
2676,2021-05-25,Webinar Registration: Ease the Burden of IT Auditing with DataSec Auditor,5
2676,2021-05-30,Ebook: Windows Server Hardening Guide,2
2677,2020-10-16,DataSec Effective Permissions Reporting Tool,8
2677,2020-10-24,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
2678,2020-06-27,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2679,2020-09-19,DataSec Account Lockout Examiner,8
2679,2020-09-23,Webinar Registration: Active Directory Recommended Practices: Detecting and Remediating Unwanted Persistence,5
2680,2021-05-12,White Paper: PCI DSS Compliance Checklist for IT Teams,2
2680,2021-05-13,DataSec Flashlight for NetSuite,8
2681,2020-11-29,White Paper: Preventing Data Loss - A DLP Primer,2
2681,2020-12-07,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2682,2020-03-20,DataSec Account Lockout Examiner,8
2682,2020-04-02,Webinar Registration: Windows Server Security Masterclass: Proactively Clearing Attack Surfaces,5
2683,2020-07-14,Free Community Edition: DataSec Auditor for VMware: Free Community Edition,15
2684,2020-03-20,White Paper: PCI DSS Compliance Checklist for IT Teams,2
2684,2020-03-25,DataSec Service Monitor,8
2684,2020-04-08,Free Trial: DataSec Auditor for Dell Data Storage,40
2685,2020-01-16,Free Trial: DataSec Auditor for Nutanix Files,40
2686,2020-12-04,DataSec Inactive User Tracker,8
2686,2020-12-16,DataSec Disk Space Monitor,8
2687,2020-09-08,Get a Demo: DataSec Auditor for Windows File Servers,40
2688,2021-06-17,White Paper: Insider Threat Detection Fundamentals,2
2688,2021-06-23,White Paper: HIPAA Compliance for IT Auditors,2
2688,2021-06-30,Webinar Attendance: Mastering Endpoint Management with DataSec,10
2689,2020-01-06,Ebook: Windows Server Hardening Guide,2
2689,2020-01-16,Webinar Attendance: Windows Server Security Masterclass: Proactively Clearing Attack Surfaces,10
2690,2020-10-05,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2690,2020-10-09,DataSec Disk Space Monitor,8
2690,2020-10-17,DataSec Service Monitor,8
2691,2021-06-07,Launch In-Browser Demo: DataSec Classification for NetApp,15
2691,2021-06-14,Webinar Attendance: Mastering Endpoint Management with DataSec,10
2691,2021-06-27,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
2692,2021-05-14,Request a Quote: DataSec Classification for SharePoint,40
2692,2021-05-17,Free Trial: DataSec Auditor for Nutanix Files,40
2693,2021-01-25,Get a Demo: DataSec Auditor for Microsoft 365,40
2694,2021-03-25,Launch In-Browser Demo: DataSec Auditor for Dell Data Storage,15
2695,2020-04-20,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2696,2020-02-21,Launch In-Browser Demo: DataSec Auditor for VMware,15
2697,2020-01-11,Ebook: Privileged Access Management Fundamentals,2
2697,2020-01-18,Launch In-Browser Demo: DataSec Auditor for Dell Data Storage,15
2697,2020-01-31,Webinar Attendance: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,10
2698,2020-02-15,White Paper: PCI DSS Compliance Checklist for IT Teams,2
2698,2020-02-23,Request a Quote: DataSec Classification for Windows File Servers,40
2698,2020-03-03,Get a Demo: DataSec Auditor for Dell Data Storage,40
2699,2021-03-02,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
2700,2020-08-24,Free Trial: DataSec Auditor for Active Directory,40
2700,2020-08-29,Webinar Registration: Block Insider Threats Where They Start: At the Endpoint,5
2701,2020-02-22,Free Community Edition: DataSec Auditor for Network Devices: Free Community Edition,15
2702,2020-10-10,Launch In-Browser Demo: DataSec Auditor for Qumulo,15
2703,2020-05-26,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
2704,2020-06-06,Launch In-Browser Demo: DataSec Classification for Windows File Servers,15
2705,2021-05-01,White Paper: HIPAA Compliance for IT Auditors,2
2705,2021-05-07,DataSec Account Lockout Examiner,8
2706,2020-04-07,Free Trial: DataSec Auditor for Qumulo,40
2706,2020-04-21,Ebook: Password Policy Best Practices,2
2707,2021-04-06,Free Trial: DataSec Auditor for SQL Server,40
2708,2021-01-11,White Paper: Insider Threat Detection Fundamentals,2
2708,2021-01-15,Get a Demo: DataSec Auditor for Active Directory,40
2708,2021-01-24,DataSec Account Lockout Examiner,8
2708,2021-02-11,Webinar Attendance: PAM Roadmap: Key Strategies for Effective Deployment and Team Engagement,10
2709,2020-11-22,Launch In-Browser Demo: DataSec Auditor for Network Devices,15
2709,2020-11-27,White Paper: Preventing Data Loss - A DLP Primer,2
2710,2020-07-06,Ebook: Defending Against Crypto-Ransomware,2
2710,2020-07-10,Request a Quote: DataSec Auditor for Synology,40
2711,2020-01-23,Launch In-Browser Demo: DataSec Classification for Qumulo,15
2712,2020-12-23,White Paper: Active Directory Security Best Practices,2
2712,2020-12-25,Webinar Attendance: Active Directory Recommended Practices: Detecting and Remediating Unwanted Persistence,10
2713,2020-09-08,Free Community Edition: DataSec Auditor for Network Devices: Free Community Edition,15
2714,2020-06-16,Webinar Registration: Windows Server Security Masterclass: Proactively Clearing Attack Surfaces,5
2714,2020-06-22,DataSec Service Monitor,8
2715,2021-05-20,Free Community Edition: DataSec Auditor for NetApp: Free Community Edition,15
2716,2021-01-17,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2716,2021-01-21,White Paper: Preventing Data Loss - A DLP Primer,2
2717,2021-05-03,Free Trial: DataSec Auditor for Active Directory,40
2718,2020-07-20,Webinar Attendance: Active Directory Recommended Practices: Detecting and Remediating Unwanted Persistence,10
2719,2020-04-15,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
2720,2020-06-15,Free Trial: DataSec Classification for Azure Files,40
2721,2020-06-09,Launch In-Browser Demo: DataSec Classification for Windows File Servers,15
2722,2020-04-05,White Paper: PCI DSS Compliance Checklist for IT Teams,2
2722,2020-04-15,DataSec Inactive User Tracker,8
2723,2020-01-14,Get a Demo: DataSec Auditor for SharePoint,40
2724,2020-07-18,Request a Quote: DataSec Auditor for Windows File Servers,40
2725,2020-12-18,White Paper: A Practical Guide to GDPR Compliance,2
2725,2020-12-29,Request a Quote: DataSec Auditor for Azure Files,40
2726,2020-06-24,Launch In-Browser Demo: DataSec Auditor for Exchange,15
2727,2020-05-20,DataSec Flashlight for NetSuite,8
2727,2020-05-24,DataSec Effective Permissions Reporting Tool,8
2728,2020-12-07,Ebook: Windows Server Hardening Guide,2
2728,2020-12-17,Webinar Attendance: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,10
2729,2020-05-26,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
2730,2021-05-17,Ebook: Privileged Access Management Fundamentals,2
2730,2021-05-23,DataSec Flashlight for NetSuite,8
2731,2020-08-02,Get a Demo: DataSec Auditor for Windows Server,40
2732,2020-03-04,Get a Demo: DataSec Auditor for Windows File Servers,40
2733,2020-05-12,DataSec Effective Permissions Reporting Tool,8
2733,2020-05-19,Webinar Registration: Get on Top of Active Directory Certificate Services and Stay There,5
2734,2020-10-23,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
2735,2021-01-21,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
2736,2020-06-19,Ebook: Defending Against Crypto-Ransomware,2
2736,2020-06-24,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2737,2020-06-17,Get a Demo: DataSec Classification for NetApp,40
2738,2021-03-15,White Paper: HIPAA Compliance for IT Auditors,2
2738,2021-03-17,"Webinar Attendance: Ransomware Unmasked: Detection, Response, and Resilience",10
2739,2020-02-07,Ebook: Defending Against Crypto-Ransomware,2
2739,2020-02-17,Launch In-Browser Demo: DataSec Auditor for NetApp,15
2740,2020-09-03,Request a Quote: DataSec Auditor for Oracle Database,40
2740,2020-09-09,Ebook: Windows Server Hardening Guide,2
2741,2021-03-30,Request a Quote: DataSec Classification for NetApp,40
2742,2021-04-02,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2743,2020-01-08,Webinar Registration: Group and Identity Management Mastery: Techniques and Best Practices,5
2743,2020-01-20,Get a Demo: DataSec Auditor for Windows Server,40
2743,2020-01-23,White Paper: PCI DSS Compliance Checklist for IT Teams,2
2744,2020-02-23,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2745,2020-02-02,Free Trial: DataSec Auditor for Windows File Servers,40
2746,2021-01-16,DataSec Event Log Manager,8
2746,2021-01-28,Ebook: Windows Server Hardening Guide,2
2747,2021-02-03,Ebook: Password Policy Best Practices,2
2747,2021-02-06,DataSec Inactive User Tracker,8
2748,2020-05-08,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2749,2020-05-20,Launch In-Browser Demo: DataSec Classification for SharePoint,15
2750,2021-06-12,White Paper: HIPAA Compliance for IT Auditors,2
2750,2021-06-19,Launch In-Browser Demo: DataSec Classification for Synology,15
2751,2020-08-29,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2752,2020-08-21,Free Community Edition: DataSec Auditor for SharePoint: Free Community Edition,15
2752,2020-09-08,DataSec Account Lockout Examiner,8
2752,2020-09-15,Request a Quote: DataSec Auditor for Windows Server,40
2753,2020-03-03,Webinar Registration: Identity Security Roadmap: Reduce Risk and Stop Identity-Based Attacks,5
2753,2020-03-04,White Paper: Insider Threat Detection Fundamentals,2
2753,2020-03-07,Webinar Registration: Identify and Reduce Risks Around Sensitive Data with DataSec Access Analyzer,5
2754,2020-10-01,DataSec Bulk Password Reset,8
2754,2020-10-05,White Paper: A Practical Guide to GDPR Compliance,2
2754,2020-10-12,Get a Demo: DataSec Classification for Qumulo,40
2755,2020-01-02,Request a Quote: DataSec Auditor for Windows File Servers,40
2755,2020-01-17,Ebook: Windows Server Hardening Guide,2
2755,2020-01-31,White Paper: A Practical Guide to GDPR Compliance,2
2755,2020-02-11,Webinar Registration: Get on Top of Active Directory Certificate Services and Stay There,5
2756,2021-01-14,Launch In-Browser Demo: DataSec Classification for Dell Data Storage,15
2757,2021-04-03,Free Trial: DataSec Auditor for Active Directory,40
2758,2020-10-11,Launch In-Browser Demo: DataSec Classification for Dell Data Storage,15
2758,2020-10-30,Free Community Edition: DataSec Auditor for Oracle Database: Free Community Edition,15
2759,2020-07-26,Free Trial: DataSec Auditor for Windows Server,40
2760,2020-12-30,Launch In-Browser Demo: DataSec Classification for Synology,15
2761,2020-08-10,Webinar Attendance: Ease the Burden of IT Auditing with DataSec Auditor,10
2762,2020-10-02,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2763,2020-02-17,Free Trial: DataSec Auditor for Nutanix Files,40
2764,2020-10-22,Free Community Edition: DataSec Auditor for SharePoint: Free Community Edition,15
2765,2020-01-29,Request a Quote: DataSec Auditor for Azure Files,40
2765,2020-02-11,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2766,2020-09-09,Free Community Edition: DataSec Auditor for SQL Server: Free Community Edition,15
2767,2020-12-14,Get a Demo: DataSec Auditor for Network Devices,40
2768,2020-09-15,Webinar Registration: Discover and Secure Sensitive Data with DataSec Classification,5
2768,2020-09-20,DataSec Event Log Manager,8
2769,2020-01-24,Free Trial: DataSec Classification for SharePoint,40
2769,2020-01-27,DataSec Flashlight for NetSuite,8
2770,2020-08-28,White Paper: Insider Threat Detection Fundamentals,2
2770,2020-09-08,DataSec Service Monitor,8
2771,2020-09-04,White Paper: Preventing Data Loss - A DLP Primer,2
2771,2020-09-05,Get a Demo: DataSec Classification for Synology,40
2772,2020-06-26,Launch In-Browser Demo: DataSec Classification for SharePoint,15
2773,2021-04-05,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
2774,2020-09-05,Free Community Edition: DataSec Auditor for NetApp: Free Community Edition,15
2775,2020-04-27,DataSec Account Lockout Examiner,8
2775,2020-05-05,Webinar Registration: Windows Server Security Masterclass: Proactively Clearing Attack Surfaces,5
2776,2020-05-07,Launch In-Browser Demo: DataSec Classification for Dell Data Storage,15
2776,2020-05-12,Ebook: Privileged Access Management Fundamentals,2
2776,2020-05-22,DataSec Inactive User Tracker,8
2777,2020-07-04,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
2778,2021-05-08,Webinar Attendance: Discover and Secure Sensitive Data with DataSec Classification,10
2779,2020-07-25,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2779,2020-08-10,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2779,2020-08-23,Request a Quote: DataSec Auditor for Windows Server,40
2780,2020-03-19,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
2780,2020-04-05,Request a Quote: DataSec Auditor for Windows Server,40
2780,2020-04-11,White Paper: Preventing Data Loss - A DLP Primer,2
2781,2021-05-07,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
2781,2021-05-24,DataSec Effective Permissions Reporting Tool,8
2781,2021-06-01,Free Community Edition: DataSec Auditor for SQL Server: Free Community Edition,15
2781,2021-06-19,DataSec Account Lockout Examiner,8
2781,2021-06-27,White Paper: Active Directory Security Best Practices,2
2782,2021-04-10,Request a Quote: DataSec Auditor for Qumulo,40
2783,2021-02-10,Webinar Attendance: Discover and Secure Sensitive Data with DataSec Classification,10
2784,2021-01-01,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
2785,2021-01-28,White Paper: Preventing Data Loss - A DLP Primer,2
2785,2021-02-07,DataSec Account Lockout Examiner,8
2786,2021-01-08,Free Trial: DataSec Classification for Qumulo,40
2787,2020-01-25,Webinar Attendance: Windows Server Security Masterclass: Proactively Clearing Attack Surfaces,10
2788,2020-07-12,Get a Demo: DataSec Auditor for Windows Server,40
2789,2020-06-03,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2790,2020-09-21,Free Trial: DataSec Auditor for Azure Files,40
2791,2020-02-07,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2791,2020-02-15,Launch In-Browser Demo: DataSec Classification for Windows File Servers,15
2792,2020-06-12,Free Trial: DataSec Auditor for Network Devices,40
2793,2020-06-22,Webinar Attendance: Mastering Endpoint Management with DataSec,10
2793,2020-07-03,Request a Quote: DataSec Auditor for Active Directory,40
2794,2020-07-16,Webinar Attendance: Enhance Your Data Loss Prevention Strategy with DataSec Endpoint Protector,10
2795,2021-03-29,Free Community Edition: DataSec Auditor for Dell Data Storage: Free Community Edition,15
2796,2020-06-01,Launch In-Browser Demo: DataSec Auditor for Qumulo,15
2797,2021-03-30,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2798,2021-04-24,Get a Demo: DataSec Auditor for Network Devices,40
2799,2019-12-31,DataSec Bulk Password Reset,8
2799,2020-01-03,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2799,2020-01-14,Get a Demo: DataSec Auditor for Active Directory,40
2800,2020-05-03,White Paper: Insider Threat Detection Fundamentals,2
2800,2020-05-15,Request a Quote: DataSec Classification for Synology,40
2801,2021-02-20,Webinar Attendance: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,10
2802,2020-10-31,Launch In-Browser Demo: DataSec Auditor for SharePoint,15
2802,2020-11-13,Webinar Registration: Windows Server Security Masterclass: Proactively Clearing Attack Surfaces,5
2802,2020-12-02,White Paper: Active Directory Security Best Practices,2
2803,2020-09-01,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2804,2021-02-23,Webinar Attendance: PAM Roadmap: Key Strategies for Effective Deployment and Team Engagement,10
2805,2020-02-12,Webinar Attendance: Block Insider Threats Where They Start: At the Endpoint,10
2806,2020-03-28,White Paper: Preventing Data Loss - A DLP Primer,2
2806,2020-04-04,Launch In-Browser Demo: DataSec Auditor for Oracle Database,15
2807,2021-03-18,"Webinar Attendance: Ransomware Unmasked: Tactics, Entry Points, and Real-World Lessons",10
2808,2021-03-05,Launch In-Browser Demo: DataSec Classification for Azure Files,15
2809,2021-06-03,Free Community Edition: DataSec Auditor for Dell Data Storage: Free Community Edition,15
2810,2020-10-04,Launch In-Browser Demo: DataSec Classification for Qumulo,15
2811,2020-09-19,Get a Demo: DataSec Auditor for Active Directory,40
2812,2021-05-07,Launch In-Browser Demo: DataSec Auditor for SQL Server,15
2813,2020-02-07,Launch In-Browser Demo: DataSec Auditor for Oracle Database,15
2814,2021-06-17,Free Trial: DataSec Auditor for Windows Server,40
2815,2021-01-09,Request a Quote: DataSec Auditor for VMware,40
2816,2020-03-01,Launch In-Browser Demo: DataSec Auditor for SQL Server,15
2816,2020-03-05,Free Trial: DataSec Auditor for Windows Server,40
2817,2020-08-23,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
2818,2020-01-11,Ebook: Password Policy Best Practices,2
2818,2020-01-21,Request a Quote: DataSec Auditor for Windows Server,40
2819,2020-07-21,Free Community Edition: DataSec Auditor for SQL Server: Free Community Edition,15
2820,2021-05-06,Ebook: Defending Against Crypto-Ransomware,2
2820,2021-05-09,DataSec Bulk Password Reset,8
2821,2020-08-26,Launch In-Browser Demo: DataSec Classification for Synology,15
2822,2021-01-14,Ebook: Defending Against Crypto-Ransomware,2
2822,2021-01-27,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
2823,2020-10-21,Free Community Edition: DataSec Auditor for Exchange: Free Community Edition,15
2824,2020-07-23,Free Trial: DataSec Auditor for Active Directory,40
2825,2020-01-08,DataSec Flashlight for NetSuite,8
2825,2020-01-12,White Paper: Active Directory Security Best Practices,2
2825,2020-01-24,White Paper: HIPAA Compliance for IT Auditors,2
2826,2020-05-16,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
2827,2020-12-07,Get a Demo: DataSec Auditor for VMware,40
2828,2021-04-21,Launch In-Browser Demo: DataSec Auditor for Dell Data Storage,15
2829,2020-02-07,Launch In-Browser Demo: DataSec Auditor for Azure Files,15
2830,2020-03-29,Ebook: Defending Against Crypto-Ransomware,2
2830,2020-04-10,Request a Quote: DataSec Auditor for Microsoft 365,40
2831,2021-02-16,White Paper: Active Directory Security Best Practices,2
2831,2021-02-28,Webinar Attendance: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,10
2832,2020-06-27,Request a Quote: DataSec Auditor for Windows Server,40
2833,2021-06-09,Get a Demo: DataSec Auditor for Microsoft 365,40
2834,2020-02-19,Launch In-Browser Demo: DataSec Auditor for NetApp,15
2835,2021-05-06,Ebook: Password Policy Best Practices,2
2835,2021-05-07,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
2836,2020-03-08,Launch In-Browser Demo: DataSec Auditor for Microsoft 365,15
2837,2020-10-07,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2838,2020-07-10,Launch In-Browser Demo: DataSec Auditor for Nutanix Files,15
2839,2020-06-02,White Paper: Active Directory Security Best Practices,2
2839,2020-06-07,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
2840,2020-07-01,Free Trial: DataSec Classification for Windows File Servers,40
2840,2020-07-05,Get a Demo: DataSec Auditor for Qumulo,40
2841,2021-05-20,Free Trial: DataSec Auditor for Exchange,40
2842,2020-07-05,Launch In-Browser Demo: DataSec Auditor for Dell Data Storage,15
2843,2020-09-29,Get a Demo: DataSec Classification for Synology,40
2843,2020-10-10,White Paper: HIPAA Compliance for IT Auditors,2
2843,2020-10-25,"Webinar Registration: Ransomware Unmasked: Detection, Response, and Resilience",5
2844,2020-07-17,Ebook: Windows Server Hardening Guide,2
2844,2020-07-28,DataSec Account Lockout Examiner,8
2845,2020-12-12,DataSec Service Monitor,8
2845,2020-12-25,DataSec Bulk Password Reset,8
